country,iso3,year,co2_per_capita,life_expectancy,energy_per_person,oil_consumption,gas_consumption,coal_consumption
United Arab Emirates,ARE,2023,19.773,82.91,134679.92,610.676,670.1,28.406
United Kingdom,GBR,2023,4.482,81.3,28094.68,741.418,636.197,51.034
United States,USA,2023,14.319,79.3,76326.86,9967.948,8884.396,2275.209
Uruguay,URY,2023,2.251,78.14,13409.5,,,
Uzbekistan,UZB,2023,3.446,72.39,16840.78,66.173,469.264,45.164
Vanuatu,VUT,2023,0.588,71.48,3790.56,,,
Venezuela,VEN,2023,4.226,72.51,24715.85,211.607,296.834,2.303
Vietnam,VNM,2023,3.462,74.59,13711.07,362.14,72.057,632.707
Wallis and Futuna,WLF,2023,2.56,78.63,,,,
Yemen,YEM,2023,0.257,69.3,875.52,,,
Zambia,ZMB,2023,0.571,66.35,2422.26,,,
Zimbabwe,ZWE,2023,0.823,62.77,3181.36,,,
